S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'6316',10.73414667,40.78522577,18.24450491,0.0615,'5957',10.73406621,40.78534026,18.13150491,0.0456,0.46688223,0.46688223,2,11.435121,0.9008522,0.9008522,0.9008522,1,1,2,10.73410644,40.785283015,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9560757,0,0
'6316',10.73414667,40.78522577,18.24450491,0.0615,'5957',10.73406621,40.78534026,18.13150491,0.0456,0.46688223,0.46688223,2,11.435121,0.9008522,0.9008522,0.9008522,1,1,2,10.73410644,40.785283015,'2961',10.73403516,40.78534014,18.11450491,0.0461,0.28291708,0.28291708,2,11.809528,0.9560757,0.9560757,0.9560757,1,1
'6317',10.64802496,40.90151914,16.56150491,0.0462,'5168',10.64794488,40.90148767,16.65750491,0.0465,0.2455908,0.2455908,2,11.863075,0.9605371,0.9605371,0.9605371,1,1,2,10.64798492,40.901503405,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6320',10.71715013,40.82000255,17.90950491,0.0885,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71715013,40.82000255,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6322',10.7357593,40.79890667,18.50050491,0.0807,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.7357593,40.79890667,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.85954505,0,0
'6322',10.7357593,40.79890667,18.50050491,0.0807,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.7357593,40.79890667,'7934',10.73556545,40.79892418,18.37450491,0.0677,0.53203267,0.53203267,2,11.258472,0.85954505,0.85954505,0.85954505,1,1
'6323',10.77214694,40.75716058,17.83450491,0.0505,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.77214694,40.75716058,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.94656146,0,0
'6323',10.77214694,40.75716058,17.83450491,0.0505,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.77214694,40.75716058,'6718',10.77202864,40.75713431,17.98150491,0.0465,0.33617368,0.33617368,2,11.720036,0.94656146,0.94656146,0.94656146,1,1
'6324',10.71286285,40.83910302,16.92550491,0.0375,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71286285,40.83910302,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.95812947,0,0
'6324',10.71286285,40.83910302,16.92550491,0.0375,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71286285,40.83910302,'5989',10.71276707,40.83908548,16.90750491,0.0499,0.2683976,0.2683976,2,11.831257,0.95812947,0.95812947,0.95812947,1,1
'6325',10.72649855,40.82131918,17.20850491,0.0515,'3145',10.72648811,40.82127096,17.14850491,0.05,0.17590655,0.17590655,2,11.9428005,0.9669365,0.9669365,0.9669365,1,1,2,10.72649333,40.82129507,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.97104,0,0
'6325',10.72649855,40.82131918,17.20850491,0.0515,'3145',10.72648811,40.82127096,17.14850491,0.05,0.17590655,0.17590655,2,11.9428005,0.9669365,0.9669365,0.9669365,1,1,2,10.72649333,40.82129507,'6698',10.72650674,40.82126789,17.05950491,0.0489,0.10444563,0.10444563,2,11.99718,0.97104,0.97104,0.97104,1,1
'6326',10.707747,40.85205503,16.63150491,0.0517,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.707747,40.85205503,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9545057,0,0
'6326',10.707747,40.85205503,16.63150491,0.0517,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.707747,40.85205503,'7925',10.70765952,40.85200758,16.57450491,0.0494,0.29312867,0.29312867,2,11.793562,0.9545057,0.9545057,0.9545057,1,1
'6327',10.70683685,40.85199622,16.99850491,0.0524,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.70683685,40.85199622,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6328',10.70814206,40.85336997,16.59150491,0.0353,'7822',10.70812468,40.85333913,16.60950491,0.0437,0.12068985,0.12068985,2,11.987253,0.9700571,0.9700571,0.9700571,1,1,2,10.70813337,40.85335455,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'6329',10.73598943,40.81322586,18.15850491,0.0648,'1398',10.73596364,40.81316315,18.27750491,0.0657,0.23643906,0.23643906,2,11.87505,0.961569,0.961569,0.961569,1,1,2,10.735976535,40.813194505,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9691755,0,0
